month-year;A;B;C;D;E;ABC
0-1996;3122500;283000;337900;152600;204400;3743400
1-1996;3130900;284500;342600;158000;201800;3758000
2-1996;3134900;291600;349500;159100;200600;3776000
3-1996;3136400;291800;354600;161900;199000;3782800
4-1996;3145900;289300;361200;164100;198100;3796400
5-1996;3135600;310800;367800;159700;195600;3814200
6-1996;3132700;315400;383300;152900;193100;3831400
7-1996;3127400;312700;419100;151100;191200;3859200
8-1996;3162000;319000;387800;159900;186300;3868800
9-1996;3151800;325400;395100;160500;182600;3872300
10-1996;3170200;325900;397200;159400;182000;3893300
11-1996;3175900;330300;405400;159800;180800;3911600
0-1997;3192400;331500;412800;157600;176900;3936700
1-1997;3181300;331900;426800;157100;174200;3940000
2-1997;3184600;335500;432600;154300;170900;3952700
3-1997;3181700;337600;444200;152500;169000;3963500
4-1997;3195400;342900;442700;153100;167700;3981000
5-1997;3191700;352500;464300;152400;166700;4008500
6-1997;3173000;350000;480900;151700;166500;4003900
7-1997;3141100;352200;516200;148600;166200;4009500
8-1997;3166000;354300;500500;149200;165000;4020800
9-1997;3163800;354800;505700;146100;165600;4024300
10-1997;3153100;363500;507600;142100;164400;4024200
11-1997;3136100;357200;529600;149700;164100;4022900
0-1998;3134100;357600;536700;149700;164600;4028400
1-1998;3124200;364200;544500;150200;165300;4032900
2-1998;3112600;365200;552100;152400;166500;4029900
3-1998;3108500;366000;557400;151400;168200;4031900
4-1998;3098300;368800;566500;149800;168000;4033600
5-1998;3077800;363000;564200;151100;167800;4005000
6-1998;3082900;366700;565400;157200;167700;4015000
7-1998;3070100;366300;583600;156800;167400;4020000
8-1998;3084300;372600;568100;154700;167300;4025000
9-1998;3081800;377100;573500;156200;167200;4032400
10-1998;3085000;376600;574100;156700;168400;4035700
11-1998;3077300;382300;581800;153800;168600;4041400
0-1999;3075000;387400;578700;156100;167100;4041100
1-1999;3073300;390300;579600;153600;166400;4043200
2-1999;3073100;390500;588300;157600;165600;4051900
3-1999;3055900;397000;594500;158200;165000;4047400
4-1999;3038800;401000;600900;160600;164600;4040700
5-1999;3028800;398400;609300;160600;164700;4036500
6-1999;2965000;398900;624200;161200;164500;3988100
7-1999;2945400;390600;631900;163800;165100;3967900
8-1999;2897800;400000;633500;164200;166200;3931300
9-1999;2878200;396000;633400;165700;165400;3907600
10-1999;2853400;390500;635300;168100;164900;3879200
11-1999;2821500;388500;631300;166800;165000;3841300
0-2000;2804200;391200;625800;167800;166000;3821200
1-2000;2775800;381800;624400;169100;164000;3782000
2-2000;2736400;379200;616400;170200;163100;3732000
3-2000;2702600;378900;604700;171000;160300;3686200
4-2000;2676000;363100;607700;168200;157700;3646800
5-2000;2641500;376000;611900;144900;155100;3629400
6-2000;2624400;379300;601800;141500;151900;3605500
7-2000;2605000;389400;594900;141500;149400;3589300
8-2000;2549500;382600;605000;142000;147300;3537100
9-2000;2505600;377000;610800;143000;145600;3493400
10-2000;2445600;383600;616500;140200;141700;3445700
11-2000;2440500;379200;609400;141300;138400;3429100
0-2001;2396200;382300;616800;134600;133400;3395300
1-2001;2380200;382300;614200;134100;130000;3376700
2-2001;2363100;384800;611200;130100;124900;3359100
3-2001;2357200;391000;607600;131800;119400;3355800
4-2001;2361600;383100;613600;133100;114900;3358300
5-2001;2364100;385800;600100;134800;110800;3350000
6-2001;2386800;387000;580200;135700;107300;3354000
7-2001;2392400;390400;578600;136500;107200;3361400
8-2001;2407100;387600;579300;124800;103400;3374000
9-2001;2435100;388400;577700;113000;98200;3401200
10-2001;2463500;396100;573900;118600;98200;3433500
11-2001;2475600;399700;576200;131400;100000;3451500
0-2002;2477100;401000;579300;135700;102200;3457400
1-2002;2482600;407000;569400;138400;103900;3459000
2-2002;2503300;407800;570100;136200;105500;3481200
3-2002;2517200;405100;574700;139900;108700;3497000
4-2002;2521000;408200;568100;144200;114700;3497300
5-2002;2530100;409700;560600;137700;119200;3500400
6-2002;2550600;411400;555600;139900;122100;3517600
7-2002;2552600;417200;547100;140900;124300;3516900
8-2002;2551300;416700;562500;135200;122900;3530500
9-2002;2556600;415200;563700;129700;121100;3535500
10-2002;2574900;417700;565500;131200;120600;3558100
11-2002;2588000;419300;561900;134000;117300;3569200
0-2003;2609900;422700;558800;141500;117800;3591400
1-2003;2627100;424800;567500;142500;116700;3619400
2-2003;2641100;434400;565800;145200;116500;3641300
3-2003;2646700;427900;566700;143400;112000;3641300
4-2003;2642700;433200;562100;145900;114700;3638000
5-2003;2661100;437000;567600;148300;112400;3665700
6-2003;2672900;433900;567100;147800;111300;3673900
7-2003;2670100;449400;570000;147800;110100;3689500
8-2003;2717200;442800;576500;150700;108800;3736500
9-2003;2720200;451200;576500;152800;113200;3747900
10-2003;2709000;458600;585500;152500;113000;3753100
11-2003;2721200;458600;591400;151900;113000;3771200
