GESTION;2017;;;;;;;;
TYPE BUDGET;Budgets annexes;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Contrôle et exploitation aériens;612;1;Soutien et prestations externes de la Navigation aérienne;;;250 725 326;246 374 841;250 725 326;246 464 841
Contrôle et exploitation aériens;612;2;Exploitation et innovation de la Navigation aérienne;;;278 204 943;282 067 770;284 002 113;281 977 770
Contrôle et exploitation aériens;613;1;Ressources humaines et management;;;1 154 250 333;1 195 086 734;1 154 250 333;1 195 461 734
Contrôle et exploitation aériens;613;2;Logistique;;;41 879 866;40 433 765;41 459 009;40 058 765
Contrôle et exploitation aériens;613;3;Affaires financières;;;407 862 550;236 739 000;407 862 550;236 739 000
Contrôle et exploitation aériens;613;4;Formation aéronautique;;;93 054 238;91 234 465;93 054 238;91 234 465
Contrôle et exploitation aériens;614;1;Développement durable et régulation;;;17 134 648;16 694 865;17 035 851;16 694 865
Contrôle et exploitation aériens;614;2;Surveillance et certification;;;24 364 003;23 879 450;24 107 693;23 879 450
Contrôle et exploitation aériens;614;4;Enquêtes de sécurité aérienne;;;2 905 118;2 851 425;2 905 118;2 851 425
Publications officielles et information administrative;623;1;Diffusion légale;;;7 000 000;6 700 000;7 500 000;6 700 000
Publications officielles et information administrative;623;2;Information administrative, édition publique et promotion;;;63 444 570;59 321 000;50 753 501;47 839 000
Publications officielles et information administrative;624;1;Pilotage, modernisation et activités numériques;;;6 077 807;6 573 000;7 264 884;7 700 000
Publications officielles et information administrative;624;2;Promotion et distribution des publications;;;0;0;0;0
Publications officielles et information administrative;624;3;Dépenses de personnel;;;75 188 918;73 900 000;75 188 918;73 900 000
Publications officielles et information administrative;624;4;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;;;41 072 000;40 972 000;41 072 000;40 972 000
