GESTION;2017;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Anciens combattants, mémoire et liens avec la nation;169;1;Administration de  la dette viagère;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;1 189 720 000;1 147 350 000;1 189 720 000;1 147 350 000
Anciens combattants, mémoire et liens avec la nation;169;1;Administration de  la dette viagère;11;Retraite du combattant;756 600 000;748 500 000;756 600 000;748 500 000
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;21;Soins médicaux gratuits et appareillage des mutilés;56 250 000;56 300 000;56 250 000;56 300 000
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;22;Remboursement des réductions de transport accordées aux invalides;3 300 000;3 200 000;3 300 000;3 200 000
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;23;Remboursement des prestations de sécurité sociale aux invalides;93 500 000;85 200 000;93 500 000;85 200 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;0;0;0;0
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;261 700 000;253 500 000;261 700 000;253 500 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;32;Subventions aux associations et oeuvres diverses;673 000;260 000;673 000;260 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;33;Indemnités, pécules et frais de voyages sur les tombes;110 000;110 000;110 000;110 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);25 400 000;26 400 000;25 400 000;26 400 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;35;Office national des anciens combattants (ONAC) : subventions;57 149 214;56 801 489;57 149 214;56 801 489
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;36;Institution nationale des invalides : subventions;12 089 143;17 089 143;12 089 143;12 089 143
Défense;144;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;250 260 075;310 532 501;230 760 075;243 832 501
Défense;144;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;12 250 696;13 536 615;10 050 695;13 536 615
Défense;144;7;Prospective de défense;1;Analyse stratégique;9 783 937;4 568 308;6 083 937;6 201 641
