GESTION;2017;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2016; AEPLF;CPLF 2016;CPPLF
Action extérieure de l'État;105;1;21;Rémunérations dactivité;38 958 551;41 516 956;38 958 551;41 516 956
Action extérieure de l'État;105;1;22;Cotisations et contributions sociales;19 771 782;20 378 460;19 771 782;20 378 460
Action extérieure de l'État;105;1;23;Prestations sociales et allocations diverses;1 262 532;1 094 783;1 262 532;1 094 783
Action extérieure de l'État;105;1;31;Dépenses de fonctionnement autres que celles de personnel;30 206 166;20 543 836;30 206 166;20 543 836
Action extérieure de l'État;105;1;61;Transferts aux ménages;0;2 441 478;0;2 441 478
Action extérieure de l'État;105;1;64;Transferts aux autres collectivités;1 939 000;0;1 939 000;0
Action extérieure de l'État;105;2;21;Rémunérations dactivité;7 083 833;7 588 919;7 083 833;7 588 919
Action extérieure de l'État;105;2;22;Cotisations et contributions sociales;2 473 222;2 572 696;2 473 222;2 572 696
Action extérieure de l'État;105;2;23;Prestations sociales et allocations diverses;109 563;95 801;109 563;95 801
Action extérieure de l'État;105;2;31;Dépenses de fonctionnement autres que celles de personnel;15 000;15 000;15 000;15 000
Action extérieure de l'État;105;2;32;Subventions pour charges de service public;0;0;0;0
Action extérieure de l'État;105;2;61;Transferts aux ménages;0;40 990 135;0;40 990 135
Action extérieure de l'État;105;2;64;Transferts aux autres collectivités;39 477 275;0;39 477 275;0
Action extérieure de l'État;105;4;61;Transferts aux ménages;0;795 244 298;0;795 244 298
Action extérieure de l'État;105;4;64;Transferts aux autres collectivités;895 646 815;0;895 646 815;0
Action extérieure de l'État;105;5;21;Rémunérations dactivité;44 779 634;50 036 843;44 779 634;50 036 843
Action extérieure de l'État;105;5;22;Cotisations et contributions sociales;18 163 017;21 051 217;18 163 017;21 051 217
Action extérieure de l'État;105;5;23;Prestations sociales et allocations diverses;29 207;25 517;29 207;25 517
Action extérieure de l'État;105;5;31;Dépenses de fonctionnement autres que celles de personnel;5 217 376;5 217 376;5 217 376;5 217 376
Action extérieure de l'État;105;5;61;Transferts aux ménages;0;29 111 068;0;29 111 068
Action extérieure de l'État;105;5;64;Transferts aux autres collectivités;19 651 068;0;19 651 068;0
Action extérieure de l'État;105;6;21;Rémunérations dactivité;69 808 763;74 101 819;69 808 763;74 101 819
Action extérieure de l'État;105;6;22;Cotisations et contributions sociales;36 327 557;37 619 540;36 327 557;37 619 540
Action extérieure de l'État;105;6;23;Prestations sociales et allocations diverses;2 232 300;1 942 313;2 232 300;1 942 313
Action extérieure de l'État;105;6;31;Dépenses de fonctionnement autres que celles de personnel;115 205 263;119 205 279;118 609 227;124 343 243
Action extérieure de l'État;105;6;51;Dépenses pour immobilisations corporelles de lÉtat;5 944 000;200 000;5 944 000;200 000
Action extérieure de l'État;105;6;64;Transferts aux autres collectivités;28 000;0;28 000;0
Action extérieure de l'État;105;7;21;Rémunérations dactivité;287 973 668;308 782 330;287 973 668;308 782 330
Action extérieure de l'État;105;7;22;Cotisations et contributions sociales;60 641 774;62 648 799;60 641 774;62 648 799
Action extérieure de l'État;105;7;23;Prestations sociales et allocations diverses;1 239 976;1 304 354;1 239 976;1 304 354
Action extérieure de l'État;105;7;31;Dépenses de fonctionnement autres que celles de personnel;221 819 018;216 013 422;209 619 018;214 557 422
Action extérieure de l'État;105;7;51;Dépenses pour immobilisations corporelles de lÉtat;44 742 791;65 462 791;44 742 791;65 462 791
Action extérieure de l'État;105;7;64;Transferts aux autres collectivités;10 000;0;10 000;0
Action extérieure de l'État;151;1;21;Rémunérations dactivité;140 119 164;145 571 308;140 119 164;145 571 308
Action extérieure de l'État;151;1;22;Cotisations et contributions sociales;31 552 320;32 964 422;31 552 320;32 964 422
Action extérieure de l'État;151;1;23;Prestations sociales et allocations diverses;768 330;603 568;768 330;603 568
Action extérieure de l'État;151;1;31;Dépenses de fonctionnement autres que celles de personnel;14 380 852;26 549 878;14 380 852;26 549 878
Action extérieure de l'État;151;1;61;Transferts aux ménages;18 075 050;16 552 798;18 075 050;16 552 798
Action extérieure de l'État;151;1;64;Transferts aux autres collectivités;591 636;1 378 500;591 636;1 378 500
Action extérieure de l'État;151;2;61;Transferts aux ménages;115 500 000;110 000 000;115 500 000;110 000 000
Action extérieure de l'État;151;2;64;Transferts aux autres collectivités;30 000;0;30 000;0
Action extérieure de l'État;151;3;21;Rémunérations dactivité;41 919 102;44 848 080;41 919 102;44 848 080
Action extérieure de l'État;151;3;22;Cotisations et contributions sociales;7 453 384;8 071 697;7 453 384;8 071 697
Action extérieure de l'État;151;3;23;Prestations sociales et allocations diverses;192 012;209 939;192 012;209 939
Action extérieure de l'État;185;1;31;Dépenses de fonctionnement autres que celles de personnel;42 757 684;43 034 612;42 757 684;43 034 612
Action extérieure de l'État;185;1;64;Transferts aux autres collectivités;164 500;0;164 500;0
Action extérieure de l'État;185;2;31;Dépenses de fonctionnement autres que celles de personnel;1 395 355;0;1 395 355;0
Action extérieure de l'État;185;2;32;Subventions pour charges de service public;29 581 961;28 691 961;29 581 961;28 691 961
Action extérieure de l'État;185;2;61;Transferts aux ménages;7 267 619;6 913 278;7 267 619;6 913 278
Action extérieure de l'État;185;2;64;Transferts aux autres collectivités;29 235 214;28 427 128;29 235 214;28 427 128
Action extérieure de l'État;185;3;31;Dépenses de fonctionnement autres que celles de personnel;243 501;0;243 501;0
Action extérieure de l'État;185;3;61;Transferts aux ménages;3 318 502;3 164 612;3 318 502;3 164 612
Action extérieure de l'État;185;3;64;Transferts aux autres collectivités;4 566 797;2 590 160;4 566 797;2 590 160
Action extérieure de l'État;185;4;31;Dépenses de fonctionnement autres que celles de personnel;5 839 893;4 803 660;5 839 893;4 803 660
Action extérieure de l'État;185;4;32;Subventions pour charges de service public;3 801 240;3 821 241;3 801 240;3 821 241
Action extérieure de l'État;185;4;61;Transferts aux ménages;72 404 150;63 308 300;72 404 150;63 308 300
Action extérieure de l'État;185;4;64;Transferts aux autres collectivités;18 309 904;23 243 247;18 309 904;23 243 247
Action extérieure de l'État;185;5;32;Subventions pour charges de service public;394 410 000;396 113 143;394 410 000;396 113 143
Action extérieure de l'État;185;5;64;Transferts aux autres collectivités;765 700;0;765 700;0
Action extérieure de l'État;185;6;21;Rémunérations dactivité;58 260 352;60 040 278;58 260 352;60 040 278
Action extérieure de l'État;185;6;22;Cotisations et contributions sociales;14 709 580;14 655 454;14 709 580;14 655 454
Action extérieure de l'État;185;6;23;Prestations sociales et allocations diverses;1 014 327;879 926;1 014 327;879 926
Action extérieure de l'État;185;7;32;Subventions pour charges de service public;33 349 000;33 082 020;33 349 000;33 082 020
Administration générale et territoriale de l'État;216;1;21;Rémunérations dactivité;186 218 573;192 169 285;186 218 573;192 169 285
Administration générale et territoriale de l'État;216;1;22;Cotisations et contributions sociales;124 491 906;127 304 977;124 491 906;127 304 977
Administration générale et territoriale de l'État;216;1;23;Prestations sociales et allocations diverses;9 341 919;9 190 301;9 341 919;9 190 301
Administration générale et territoriale de l'État;216;1;31;Dépenses de fonctionnement autres que celles de personnel;17 043 508;20 452 152;17 102 508;20 452 152
Administration générale et territoriale de l'État;216;1;32;Subventions pour charges de service public;16 830 748;17 500 000;16 830 748;17 500 000
Administration générale et territoriale de l'État;216;3;31;Dépenses de fonctionnement autres que celles de personnel;54 528 693;52 352 537;54 528 693;53 142 537
Administration générale et territoriale de l'État;216;3;51;Dépenses pour immobilisations corporelles de lÉtat;18 748 402;28 048 902;16 656 652;29 350 652
Administration générale et territoriale de l'État;216;4;31;Dépenses de fonctionnement autres que celles de personnel;38 419 042;40 621 542;38 419 042;40 621 542
Administration générale et territoriale de l'État;216;5;31;Dépenses de fonctionnement autres que celles de personnel;112 623 728;98 185 621;128 092 023;121 547 741
Administration générale et territoriale de l'État;216;5;51;Dépenses pour immobilisations corporelles de lÉtat;4 600 000;13 000 000;11 169 894;24 058 064
Administration générale et territoriale de l'État;216;6;31;Dépenses de fonctionnement autres que celles de personnel;43 300 000;55 000 000;43 300 000;55 000 000
Administration générale et territoriale de l'État;216;8;21;Rémunérations dactivité;24 027 229;24 823 921;24 027 229;24 823 921
Administration générale et territoriale de l'État;216;8;22;Cotisations et contributions sociales;13 581 640;14 090 084;13 581 640;14 090 084
Administration générale et territoriale de l'État;216;8;23;Prestations sociales et allocations diverses;303 656;157 851;303 656;157 851
Administration générale et territoriale de l'État;216;9;21;Rémunérations dactivité;72 499 099;77 361 319;72 499 099;77 361 319
Administration générale et territoriale de l'État;216;9;22;Cotisations et contributions sociales;49 863 316;47 150 483;49 863 316;47 150 483
