GESTION;2017;;;;;;;;
TYPE BUDGET;Comptes de concours financiers;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Accords monétaires internationaux;811;1;Relations avec l'Union monétaire ouest-africaine;;;0;0;0;0
Accords monétaires internationaux;812;1;Relations avec l'Union monétaire d'Afrique centrale;;;0;0;0;0
Accords monétaires internationaux;813;1;Relations avec l'Union des Comores;;;0;0;0;0
Avances à divers services de l'État ou organismes gérant des services publics;821;1;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;;;16 000 000 000;16 000 000 000;16 000 000 000;16 000 000 000
Avances à divers services de l'État ou organismes gérant des services publics;823;1;Avances à des organismes distincts de l'État et gérant des services publics;;;56 000 000;346 600 000;56 000 000;346 600 000
Avances à divers services de l'État ou organismes gérant des services publics;824;1;Avances au budget annexe « Contrôle et exploitation aériens »;;;112 612 547;102 602 000;112 612 547;102 602 000
Avances à divers services de l'État ou organismes gérant des services publics;825;1;Avances à l'ONIAM au titre de l'indemnisation des victimes du Benfluorex;;;15 000 000;15 000 000;15 000 000;15 000 000
Avances à l'audiovisuel public;841;1;France Télévisions;;;2 559 611 113;2 598 280 011;2 559 611 113;2 598 280 011
Avances à l'audiovisuel public;842;1;ARTE France;;;269 801 969;280 011 969;269 801 969;280 011 969
Avances à l'audiovisuel public;843;1;Radio France;;;619 497 236;625 112 736;619 497 236;625 112 736
Avances à l'audiovisuel public;844;1;France Médias Monde;;;249 124 000;256 811 872;249 124 000;256 811 872
Avances à l'audiovisuel public;845;1;Institut national de l'audiovisuel;;;90 869 000;90 869 000;90 869 000;90 869 000
Avances à l'audiovisuel public;847;1;TV5 Monde;;;78 548 905;80 008 935;78 548 905;80 008 935
Avances aux collectivités territoriales;832;1;Avances de l'article 70 de la loi du 31 mars 1932 et de l'article L. 2336-1 du code général des collectivités territoriales;;;6 000 000;6 000 000;6 000 000;6 000 000
Avances aux collectivités territoriales;832;2;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2237-2 du code général des collectivités territoriales;;;0;0;0;0
Avances aux collectivités territoriales;832;3;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);;;0;0;0;0
Avances aux collectivités territoriales;832;4;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;;;0;0;0;0
Avances aux collectivités territoriales;833;1;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;95 974 240 564;97 902 806 692;95 974 240 564;97 902 806 692
Avances aux collectivités territoriales;833;2;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;;;5 877 904 311;5 877 914 822;5 877 904 311;5 877 914 822
Avances aux collectivités territoriales;833;3;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;;;906 427 651;951 202 755;906 427 651;951 202 755
Avances aux collectivités territoriales;833;4;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur l;;;954 866 917;957 283 641;954 866 917;957 283 641
Prêts à des États étrangers;851;1;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;372 000 000;300 000 000;300 000 000;300 000 000
Prêts à des États étrangers;852;1;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;734 707 502;148 000 000;734 707 502;148 000 000
Prêts à des États étrangers;853;1;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;400 000 000;1 552 000 000;58 500 000;250 000 000
Prêts à des États étrangers;854;1;Soutien financier aux États membres de l’Union européenne dont la monnaie est l’euro;;;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;4;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;485 000;450 000;485 000;450 000
Prêts et avances à des particuliers ou à des organismes privés;862;1;Prêts pour le développement économique et social;;;150 000 000;100 000 000;150 000 000;100 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;2;Prêts pour le soutien à l'innovation de la filière automobile;;;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;863;3;Fonds de soutien à la filière automobile;;;5 000 000;5 000 000;5 000 000;5 000 000
