GESTION;2017;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2016; AEPLF;CPLF 2016;CPPLF
Aides à l'acquisition de véhicules propres;791;1;61;Transferts aux ménages;236 001 000;320 000 000;236 001 000;320 000 000
Aides à l'acquisition de véhicules propres;792;1;61;Transferts aux ménages;60 000 000;27 000 000;60 000 000;27 000 000
Contrôle de la circulation et du stationnement routiers;751;1;31;Dépenses de fonctionnement autres que celles de personnel;81 989 008;85 343 917;81 989 008;85 343 917
Contrôle de la circulation et du stationnement routiers;751;1;51;Dépenses pour immobilisations corporelles de l’État;22 747 592;46 156 083;22 747 592;46 156 083
Contrôle de la circulation et du stationnement routiers;751;2;32;Subventions pour charges de service public;87 659 891;70 000 000;87 659 891;70 000 000
Contrôle de la circulation et du stationnement routiers;751;2;72;Dotations en fonds propres;5 037 509;12 000 000;5 037 509;12 000 000
Contrôle de la circulation et du stationnement routiers;751;3;31;Dépenses de fonctionnement autres que celles de personnel;6 780 000;7 500 000;6 780 000;7 500 000
Contrôle de la circulation et du stationnement routiers;751;4;31;Dépenses de fonctionnement autres que celles de personnel;0;18 920 000;0;18 920 000
Contrôle de la circulation et du stationnement routiers;751;4;51;Dépenses pour immobilisations corporelles de l’État;0;9 080 000;0;9 080 000
Contrôle de la circulation et du stationnement routiers;753;1;32;Subventions pour charges de service public;26 200 000;22 200 000;26 200 000;22 200 000
Contrôle de la circulation et du stationnement routiers;753;1;72;Dotations en fonds propres;0;4 000 000;0;4 000 000
Contrôle de la circulation et du stationnement routiers;754;1;63;Transferts aux collectivités territoriales;672 030 557;664 790 165;672 030 557;664 790 165
Contrôle de la circulation et du stationnement routiers;755;1;31;Dépenses de fonctionnement autres que celles de personnel;440 541 249;438 776 184;440 541 249;438 776 184
Développement agricole et rural;775;1;64;Transferts aux autres collectivités;70 453 250;70 453 250;70 453 250;70 453 250
Développement agricole et rural;775;2;31;Dépenses de fonctionnement autres que celles de personnel;100 000;100 000;100 000;100 000
Développement agricole et rural;776;1;64;Transferts aux autres collectivités;76 546 750;76 546 750;76 546 750;76 546 750
Développement agricole et rural;776;2;31;Dépenses de fonctionnement autres que celles de personnel;400 000;400 000;400 000;400 000
