Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;03;Objectifs de développement durable
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;04;Enseignement supérieur et recherche
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence"""
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;07;Diplomatie économique et développement du tourisme
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;01;Coordination de la sécurité des personnes et des biens
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;03;Contrôle de légalité et conseil aux collectivités territoriales
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;04;Pilotage territorial des politiques gouvernementales
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;05;Animation et soutien du réseau
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;01;Financement des partis
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;02;Organisation des élections
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;03;Commission nationale des comptes de campagne et des financements politiques
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;04;Cultes
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;05;Vie associative
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;03;Système d'information et de communication
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;04;Action sociale et formation
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;05;Affaires immobilières
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;06;Affaires juridiques et contentieuses
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;08;Immigration, asile et intégration
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;09;Sécurité et éducation routières
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;10;Fonds interministériel de prévention de la délinquance
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;21;Adaptation des filières à l'évolution des marchés
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;22;Gestion des crises et des aléas de la production agricole
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;23;Appui au renouvellement et à la modernisation des exploitations agricoles
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;24;Gestion équilibrée et durable des territoires
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;25;Protection sociale
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;26;Gestion durable de la forêt et développement de la filière bois
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales et protection des animaux
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales
